"player"	"number"	"team"	"league"	"nationality"	"region"	"height"	"weight"	"age"	"foot"	"position"	"attacking"	"ball_control"	"dribbling"	"low_pass"	"air_pass"	"finishing"	"place_kicking"	"swerve"	"header"	"defensive"	"ball_winning"	"kicking_power"	"speed"	"explosive_power"	"unwavering_balance"	"physical_contact"	"jump"	"goalkeeping"	"gk_catch"	"clearing"	"reflexes"	"coverage"	"stamina"	"weak_foot_usage"	"weak_foot_accuracy"	"form"	"injury_resistance"	"overall"
"C. RONALDO"	"7"	"PM BLACK WHITE"	"Italian League"	"PORTUGAL"	"Europe"	"185"	"80"	"33"	"Right foot"	"CF"	"92"	"91"	"86"	"83"	"83"	"92"	"75"	"82"	"94"	"49"	"57"	"94"	"89"	"86"	"79"	"87"	"98"	"40"	"40"	"40"	"40"	"40"	"89"	"2"	"3"	"7"	"2"	"94"
"L. MESSI"	"10"	"BARCELONA"	"Spanish League"	"ARGENTINA"	"South America"	"170"	"72"	"31"	"Left foot"	"SS"	"95"	"97"	"96"	"88"	"86"	"95"	"90"	"89"	"68"	"43"	"48"	"80"	"86"	"92"	"95"	"66"	"67"	"40"	"40"	"40"	"40"	"40"	"76"	"1"	"3"	"7"	"3"	"94"
"NEYMAR"	"10"	"PSG"	"Ligue 1 Conforama"	"BRAZIL"	"South America"	"175"	"68"	"26"	"Right foot"	"LWF"	"92"	"95"	"96"	"88"	"76"	"86"	"87"	"86"	"66"	"48"	"44"	"80"	"92"	"94"	"93"	"65"	"68"	"40"	"40"	"40"	"40"	"40"	"84"	"3"	"4"	"7"	"2"	"93"
"DAVID DE GEA"	"1"	"MAN RED"	"English League"	"SPAIN"	"Europe"	"192"	"76"	"28"	"Right foot"	"GK"	"42"	"65"	"43"	"70"	"77"	"43"	"65"	"51"	"70"	"43"	"43"	"71"	"68"	"67"	"73"	"80"	"83"	"97"	"95"	"97"	"99"	"98"	"65"	"2"	"3"	"7"	"3"	"91"
"M. NEUER"	NA	"Free Agents"	"Free Agent"	"GERMANY"	"Europe"	"193"	"92"	"32"	"Right foot"	"GK"	"42"	"68"	"60"	"71"	"77"	"43"	"65"	"57"	"71"	"65"	"41"	"86"	"70"	"66"	"67"	"88"	"85"	"98"	"96"	"96"	"97"	"97"	"68"	"2"	"3"	"8"	"2"	"90"
"L. SUÁREZ"	"9"	"BARCELONA"	"Spanish League"	"URUGUAY"	"South America"	"182"	"86"	"31"	"Right foot"	"CF"	"94"	"85"	"81"	"80"	"77"	"92"	"80"	"84"	"77"	"58"	"54"	"86"	"78"	"86"	"80"	"87"	"70"	"40"	"40"	"40"	"40"	"40"	"84"	"3"	"3"	"6"	"3"	"90"
"T. KROOS"	"8"	"MD WHITE"	"Spanish League"	"GERMANY"	"Europe"	"182"	"78"	"28"	"Right foot"	"CMF"	"75"	"94"	"80"	"96"	"95"	"78"	"80"	"85"	"63"	"77"	"68"	"84"	"73"	"76"	"78"	"80"	"64"	"40"	"40"	"40"	"40"	"40"	"84"	"3"	"3"	"7"	"2"	"90"
"E. HAZARD"	"10"	"LONDON FC"	"English League"	"BELGIUM"	"Europe"	"173"	"76"	"27"	"Right foot"	"LWF"	"86"	"92"	"96"	"84"	"83"	"85"	"75"	"83"	"60"	"52"	"43"	"81"	"89"	"95"	"93"	"74"	"58"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"6"	"2"	"90"
"R. LEWANDOWSKI"	NA	"Free Agents"	"Free Agent"	"POLAND"	"Europe"	"185"	"79"	"30"	"Right foot"	"CF"	"93"	"89"	"87"	"79"	"68"	"92"	"65"	"70"	"85"	"53"	"50"	"87"	"81"	"81"	"79"	"84"	"84"	"40"	"40"	"40"	"40"	"40"	"79"	"3"	"3"	"7"	"3"	"90"
"A. GRIEZMANN"	"7"	"KB RED WHITE"	"Spanish League"	"FRANCE"	"Europe"	"174"	"72"	"27"	"Left foot"	"CF"	"90"	"88"	"89"	"84"	"80"	"87"	"81"	"84"	"75"	"54"	"57"	"80"	"86"	"88"	"82"	"70"	"78"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"7"	"3"	"90"
"K. DE BRUYNE"	"17"	"MAN BLUE"	"English League"	"BELGIUM"	"Europe"	"181"	"68"	"27"	"Right foot"	"AMF"	"86"	"91"	"87"	"92"	"92"	"84"	"84"	"80"	"62"	"51"	"53"	"87"	"78"	"79"	"80"	"74"	"65"	"40"	"40"	"40"	"40"	"40"	"87"	"3"	"4"	"6"	"2"	"90"
"M. SALAH"	"11"	"LIVERPOOL"	"English League"	"EGYPT"	"Africa"	"175"	"71"	"26"	"Left foot"	"RWF"	"88"	"92"	"92"	"84"	"78"	"88"	"70"	"82"	"61"	"50"	"48"	"78"	"94"	"95"	"90"	"75"	"68"	"40"	"40"	"40"	"40"	"40"	"85"	"2"	"2"	"8"	"2"	"90"
"SERGIO RAMOS"	"4"	"MD WHITE"	"Spanish League"	"SPAIN"	"Europe"	"183"	"75"	"32"	"Right foot"	"CB"	"65"	"74"	"66"	"75"	"76"	"72"	"66"	"67"	"94"	"89"	"90"	"75"	"78"	"77"	"66"	"84"	"95"	"40"	"40"	"40"	"40"	"40"	"84"	"2"	"3"	"7"	"3"	"89"
"L. MODRIC"	"10"	"MD WHITE"	"Spanish League"	"CROATIA"	"Europe"	"174"	"65"	"33"	"Right foot"	"CMF"	"80"	"91"	"87"	"94"	"86"	"72"	"79"	"80"	"60"	"72"	"82"	"77"	"78"	"89"	"92"	"62"	"62"	"40"	"40"	"40"	"40"	"40"	"86"	"2"	"3"	"8"	"2"	"89"
"E. CAVANI"	"9"	"PSG"	"Ligue 1 Conforama"	"URUGUAY"	"South America"	"184"	"71"	"31"	"Right foot"	"CF"	"95"	"79"	"71"	"78"	"76"	"91"	"82"	"87"	"90"	"56"	"55"	"88"	"83"	"81"	"74"	"82"	"87"	"40"	"40"	"40"	"40"	"40"	"93"	"3"	"3"	"7"	"3"	"89"
"M. HUMMELS"	NA	"Free Agents"	"Free Agent"	"GERMANY"	"Europe"	"191"	"92"	"30"	"Right foot"	"CB"	"63"	"81"	"68"	"87"	"90"	"63"	"60"	"70"	"92"	"96"	"90"	"77"	"72"	"68"	"68"	"89"	"80"	"40"	"40"	"40"	"40"	"40"	"83"	"1"	"2"	"7"	"1"	"89"
"J. OBLAK"	"13"	"KB RED WHITE"	"Spanish League"	"SLOVENIA"	"Europe"	"188"	"77"	"25"	"Right foot"	"GK"	"41"	"61"	"57"	"72"	"69"	"51"	"60"	"66"	"63"	"60"	"58"	"84"	"66"	"67"	"70"	"87"	"85"	"97"	"95"	"93"	"95"	"94"	"64"	"1"	"1"	"6"	"2"	"89"
"H. KANE"	"10"	"NORTH EAST LONDON"	"English League"	"ENGLAND"	"Europe"	"188"	"76"	"25"	"Right foot"	"CF"	"94"	"83"	"80"	"79"	"78"	"93"	"70"	"75"	"85"	"55"	"56"	"87"	"78"	"76"	"67"	"88"	"72"	"40"	"40"	"40"	"40"	"40"	"87"	"2"	"3"	"7"	"2"	"89"
"PIQUÉ"	"3"	"BARCELONA"	"Spanish League"	"SPAIN"	"Europe"	"194"	"85"	"31"	"Right foot"	"CB"	"64"	"80"	"69"	"85"	"84"	"70"	"60"	"63"	"88"	"91"	"90"	"75"	"75"	"69"	"72"	"88"	"88"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"2"	"8"	"3"	"88"
"G. HIGUAÍN"	"9"	"MILAN"	"Italian League"	"ARGENTINA"	"South America"	"184"	"82"	"31"	"Right foot"	"CF"	"94"	"82"	"82"	"78"	"76"	"92"	"74"	"78"	"85"	"47"	"55"	"88"	"76"	"73"	"76"	"85"	"78"	"40"	"40"	"40"	"40"	"40"	"78"	"3"	"4"	"5"	"3"	"88"
"S. AGÜERO"	"10"	"MAN BLUE"	"English League"	"ARGENTINA"	"South America"	"173"	"70"	"30"	"Right foot"	"CF"	"90"	"88"	"88"	"78"	"69"	"89"	"72"	"80"	"68"	"53"	"50"	"86"	"84"	"90"	"88"	"73"	"78"	"40"	"40"	"40"	"40"	"40"	"73"	"2"	"3"	"6"	"1"	"88"
"MARCELO"	"12"	"MD WHITE"	"Spanish League"	"BRAZIL"	"South America"	"174"	"75"	"30"	"Left foot"	"LB"	"84"	"87"	"84"	"84"	"82"	"76"	"65"	"82"	"70"	"79"	"82"	"87"	"82"	"84"	"75"	"80"	"71"	"40"	"40"	"40"	"40"	"40"	"86"	"2"	"2"	"6"	"1"	"88"
"G. BALE"	"11"	"MD WHITE"	"Spanish League"	"WALES"	"Europe"	"183"	"74"	"29"	"Left foot"	"RWF"	"86"	"86"	"87"	"82"	"78"	"85"	"79"	"80"	"79"	"54"	"56"	"92"	"91"	"89"	"65"	"82"	"81"	"40"	"40"	"40"	"40"	"40"	"75"	"1"	"2"	"6"	"1"	"88"
"P. AUBAMEYANG"	"14"	"ARSENAL"	"English League"	"GABON"	"Africa"	"187"	"80"	"29"	"Right foot"	"CF"	"88"	"81"	"82"	"75"	"64"	"87"	"73"	"72"	"85"	"50"	"51"	"83"	"97"	"96"	"80"	"78"	"88"	"40"	"40"	"40"	"40"	"40"	"85"	"2"	"3"	"6"	"3"	"88"
"P. COUTINHO"	"7"	"BARCELONA"	"Spanish League"	"BRAZIL"	"South America"	"171"	"71"	"26"	"Right foot"	"LWF"	"87"	"90"	"92"	"87"	"79"	"85"	"85"	"87"	"63"	"51"	"54"	"83"	"79"	"90"	"92"	"65"	"65"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"3"	"6"	"2"	"88"
"P. DYBALA"	"10"	"PM BLACK WHITE"	"Italian League"	"ARGENTINA"	"South America"	"177"	"74"	"25"	"Left foot"	"SS"	"86"	"90"	"89"	"84"	"81"	"88"	"86"	"88"	"65"	"49"	"52"	"85"	"80"	"86"	"91"	"66"	"68"	"40"	"40"	"40"	"40"	"40"	"80"	"2"	"2"	"7"	"2"	"88"
"M. TER STEGEN"	"1"	"BARCELONA"	"Spanish League"	"GERMANY"	"Europe"	"187"	"85"	"26"	"Right foot"	"GK"	"43"	"68"	"57"	"76"	"77"	"46"	"60"	"58"	"60"	"57"	"53"	"77"	"65"	"63"	"68"	"79"	"84"	"95"	"92"	"94"	"97"	"95"	"68"	"2"	"3"	"7"	"3"	"88"
"INIESTA"	NA	"Free Agents"	"Free Agent"	"SPAIN"	"Europe"	"171"	"68"	"34"	"Right foot"	"CMF"	"72"	"94"	"90"	"93"	"88"	"71"	"70"	"79"	"60"	"67"	"66"	"71"	"74"	"76"	"90"	"69"	"56"	"40"	"40"	"40"	"40"	"40"	"74"	"2"	"2"	"5"	"2"	"87"
"H. LLORIS"	"1"	"NORTH EAST LONDON"	"English League"	"FRANCE"	"Europe"	"188"	"78"	"32"	"Left foot"	"GK"	"40"	"64"	"41"	"60"	"62"	"41"	"60"	"42"	"60"	"57"	"49"	"73"	"68"	"70"	"69"	"73"	"84"	"94"	"95"	"80"	"98"	"98"	"61"	"1"	"1"	"4"	"2"	"87"
"G. CHIELLINI"	"3"	"PM BLACK WHITE"	"Italian League"	"ITALY"	"Europe"	"187"	"84"	"34"	"Left foot"	"CB"	"63"	"69"	"71"	"73"	"74"	"62"	"60"	"68"	"85"	"91"	"93"	"79"	"81"	"73"	"64"	"91"	"87"	"40"	"40"	"40"	"40"	"40"	"85"	"2"	"2"	"6"	"3"	"87"
"K. BENZEMA"	"9"	"MD WHITE"	"Spanish League"	"FRANCE"	"Europe"	"185"	"79"	"31"	"Right foot"	"CF"	"86"	"94"	"86"	"87"	"60"	"83"	"74"	"79"	"76"	"53"	"48"	"87"	"78"	"84"	"77"	"86"	"74"	"40"	"40"	"40"	"40"	"40"	"77"	"2"	"2"	"5"	"2"	"87"
"DAVID SILVA"	"21"	"MAN BLUE"	"English League"	"SPAIN"	"Europe"	"173"	"67"	"32"	"Left foot"	"AMF"	"86"	"92"	"89"	"93"	"85"	"75"	"78"	"84"	"64"	"55"	"57"	"72"	"70"	"77"	"92"	"64"	"70"	"40"	"40"	"40"	"40"	"40"	"80"	"1"	"2"	"6"	"2"	"87"
"D. GODÍN"	"2"	"KB RED WHITE"	"Spanish League"	"URUGUAY"	"South America"	"186"	"78"	"32"	"Right foot"	"CB"	"64"	"75"	"67"	"79"	"75"	"62"	"65"	"66"	"94"	"94"	"90"	"69"	"72"	"68"	"66"	"87"	"85"	"40"	"40"	"40"	"40"	"40"	"85"	"1"	"2"	"7"	"3"	"87"
"A. VIDAL"	"22"	"BARCELONA"	"Spanish League"	"CHILE"	"South America"	"180"	"75"	"31"	"Right foot"	"CMF"	"80"	"84"	"78"	"85"	"82"	"78"	"75"	"78"	"82"	"85"	"88"	"87"	"75"	"78"	"78"	"80"	"85"	"40"	"40"	"40"	"40"	"40"	"90"	"2"	"3"	"7"	"2"	"87"
"A. SÁNCHEZ"	"7"	"MAN RED"	"English League"	"CHILE"	"South America"	"169"	"62"	"30"	"Right foot"	"LWF"	"85"	"87"	"90"	"78"	"76"	"84"	"78"	"76"	"70"	"50"	"52"	"85"	"85"	"89"	"86"	"72"	"85"	"40"	"40"	"40"	"40"	"40"	"85"	"1"	"2"	"4"	"2"	"87"
"DIEGO COSTA"	"19"	"KB RED WHITE"	"Spanish League"	"SPAIN"	"Europe"	"188"	"85"	"30"	"Right foot"	"CF"	"88"	"85"	"81"	"78"	"65"	"86"	"63"	"69"	"86"	"60"	"67"	"86"	"83"	"78"	"78"	"88"	"76"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"3"	"7"	"1"	"87"
"M. ÖZIL"	"10"	"ARSENAL"	"English League"	"GERMANY"	"Europe"	"180"	"76"	"30"	"Left foot"	"AMF"	"85"	"92"	"88"	"94"	"86"	"75"	"80"	"85"	"64"	"52"	"46"	"75"	"74"	"83"	"90"	"67"	"62"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"1"	"5"	"2"	"87"
"SERGIO BUSQUETS"	"5"	"BARCELONA"	"Spanish League"	"SPAIN"	"Europe"	"189"	"76"	"30"	"Right foot"	"DMF"	"72"	"88"	"79"	"90"	"85"	"67"	"69"	"68"	"74"	"86"	"87"	"71"	"66"	"65"	"82"	"82"	"76"	"40"	"40"	"40"	"40"	"40"	"88"	"2"	"2"	"6"	"2"	"87"
"THIAGO SILVA"	"2"	"PSG"	"Ligue 1 Conforama"	"BRAZIL"	"South America"	"183"	"79"	"34"	"Right foot"	"CB"	"63"	"80"	"71"	"81"	"82"	"58"	"67"	"66"	"85"	"91"	"89"	"76"	"77"	"73"	"73"	"83"	"94"	"40"	"40"	"40"	"40"	"40"	"76"	"2"	"3"	"6"	"3"	"87"
"R. LUKAKU"	"9"	"MAN RED"	"English League"	"BELGIUM"	"Europe"	"190"	"94"	"25"	"Left foot"	"CF"	"91"	"79"	"82"	"72"	"65"	"91"	"77"	"64"	"87"	"47"	"49"	"90"	"90"	"85"	"72"	"93"	"82"	"40"	"40"	"40"	"40"	"40"	"83"	"2"	"3"	"6"	"2"	"87"
"J. BOATENG"	NA	"Free Agents"	"Free Agent"	"GERMANY"	"Europe"	"192"	"90"	"30"	"Right foot"	"CB"	"62"	"74"	"70"	"80"	"83"	"55"	"60"	"61"	"91"	"91"	"94"	"80"	"81"	"74"	"64"	"93"	"85"	"40"	"40"	"40"	"40"	"40"	"78"	"3"	"3"	"7"	"2"	"87"
"DOUGLAS COSTA"	"11"	"PM BLACK WHITE"	"Italian League"	"BRAZIL"	"South America"	"170"	"65"	"28"	"Left foot"	"LWF"	"79"	"89"	"92"	"82"	"89"	"72"	"78"	"84"	"58"	"56"	"60"	"84"	"87"	"94"	"86"	"67"	"61"	"40"	"40"	"40"	"40"	"40"	"79"	"2"	"2"	"5"	"2"	"87"
"C. ERIKSEN"	"23"	"NORTH EAST LONDON"	"English League"	"DENMARK"	"Europe"	"175"	"71"	"26"	"Right foot"	"AMF"	"85"	"89"	"85"	"89"	"87"	"80"	"87"	"84"	"62"	"60"	"61"	"84"	"76"	"80"	"85"	"65"	"62"	"40"	"40"	"40"	"40"	"40"	"88"	"2"	"3"	"6"	"2"	"87"
"THIAGO A."	NA	"Free Agents"	"Free Agent"	"SPAIN"	"Europe"	"174"	"70"	"27"	"Right foot"	"CMF"	"74"	"90"	"92"	"90"	"87"	"74"	"78"	"89"	"60"	"76"	"74"	"74"	"72"	"78"	"87"	"60"	"74"	"40"	"40"	"40"	"40"	"40"	"72"	"2"	"3"	"7"	"2"	"87"
"J. RODRÍGUEZ"	NA	"Free Agents"	"Free Agent"	"COLOMBIA"	"South America"	"180"	"75"	"27"	"Left foot"	"AMF"	"83"	"88"	"85"	"87"	"89"	"85"	"85"	"82"	"68"	"55"	"51"	"86"	"75"	"80"	"80"	"71"	"64"	"40"	"40"	"40"	"40"	"40"	"78"	"1"	"2"	"6"	"2"	"87"
